Key	English	Bengali	Chinese(Simplified)	Chinese(Traditional)	Czech	Danish	Dutch	Finnish	French	German	Greek	Hindi	Hungarian	Indonesian	Italian	Japanese	Korean	Norwegian	Polish	Portuguese	Romanian	Russian	Slovak	Spanish	Swedish	Tamil	Thai	Turkish
Greeting	Hello	হ্যালো	你好	你好	Ahoj	Hej	Hallo	Hei	Bonjour	Hallo	Γειά σου	नमस्ते	Szia	Halo	Ciao	こんにちは	안녕하세요	Hei	Cześć	Olá	Salut	Привет	Ahoj	Hola	Hej	வணக்கம்	สวัสดี	Merhaba
Farewell	Good-bye	বিদায়	再见	再見	Sbohem	Farvel	Tot ziens	Näkemiin	Au revoir	Auf Wiedersehen	Αντίο	अलविदा	Viszontlátásra	Selamat tinggal	Arrivederci	さようなら	안녕히 가세요	Ha det	Do widzenia	Adeus	La revedere	До свидания	Zbohom	Adiós	Hejdå	பிரியாவிடை	ลาก่อน	Hoşça kal
Wow	Wow	ওহে	哇	哇	Ó	Wow	Wauw	Vau	Waouh	Wow	Ουάου	वाह	Hűha	Wah	Wow	わお	와우	Oi	O	Uau	Uau	Вау	Ó	Guau	Oj	ஆஹா	ว้าว	Vay
indomiegoreng	Fried Noodle													Mie Goreng														
indomierebus	Soup Noodle													Mie Rebus														
geprek	Chicken Geprek													Ayam Geprek														
egg	Egg													Telur														
rice	Rice													Nasi														
sambal	Sambal													Sambal														
vegs	Vegetables													Sayur														
ayam	Chicken													Ayam														
sarden	Sardine													Sarden														
rendang	Rendang													Rendang														
hotwater	Hot Water													Air Panas														
ice	Ice													Es Batu														
tea	Tea													Teh														
lemon	Lemon													Jeruk														
milk	Milk													Susu														
coffee	Coffee													Kopi														
syrup	Syrup													Sirup														
soda	Soda													Soda														
hot_tea	Hot Tea													Teh Panas														
magelangan	Magelangan													Magelangan														
hot_lemon	Hot Lemon													Jeruk Panas														
hot_milk	Hot Milk													Susu Panas														
hot_coffee	Hot Coffee													Kopi Panas														
hot_syrup	Hot Syrup													Sirup Panas														
hot_clatte	Hot Coffee Latte													Kopi Susu Panas														
hot_lemontea	Hot Lemon Tea													Lemon Tea Panas														
ice_lemontea	Ice Lemon Tea													Es Lemon Tea														
ice_tea	Ice Tea													Es Teh														
ice_lemon	Ice Lemon													Es Jeruk														
ice_milk	Ice Milk													Es Susu														
ice_coffee	Ice Coffee													ES Kopi														
ice_syrup	Ice Syrup													Es Sirup														
ice_clatte	Ice Coffee Lattee													Es Kopi Susu														
sogem	Milk Soda													Soda Gembira														
nastel	Egg Rice													Nasi Telur														
intelg	Egg Fried Noodle													Intel Goreng														
intelr	Egg Soup Noodle													Intel Rebus														
nasi_ayam	Chicken Rice													Nasi Ayam														
nasgor	Fried Rice													Nasi Goreng														
nsarden	Sardine Rice													Nasi Sarden														
gelas	Cup													Gelas														
piring	Plate													Piring														
lt	Lemon Tea													Lemon Tea														
cobek	Cobek													Cobek														
roko	Cigarette													Rokok														
alat	Utensil :													Alat :														
bahan	Ingredients :													Bahan :														
stove	Stove													Kompor														
telgor	Fried Egg													Telur Goreng														
																												
cyes	Yes													Ya														
cno	No.													Tidak														
																												
																												
Options	Options													Pengaturan														
